racler la casserole,raspar a panela
il s’est plongé dans la fange de la corruption,ele mergulhou na lama repugnante da corrupção
le sentier,caminho - trilha
se fouetter avec des branches de chêne,se chicotear com ramos de carvalho
enduire le mur de liquide,cobrir a parede de líquido
mais hélas,mas infelizmente
cinglé,louco
la hirondelle,a andorinha
secouer,sacudir
la semelle,a sola de sapato
cette idée est saugrenue,essa ideia é absurda
tu conviendras toi-même que cette idée est saugrenue,você mesmo concordará que essa ideia é absurda
il y a belle lurette,faz muito tempo (expr.)
persifler,zombar
qu’est-ce qui lui prend à celui-là,o que está acontecendo com aquele ali?
un autel,um altar
gosse,ganso
déborder,transbordar
bruissant,ruidoso
je flairais son odeur,eu sentiria o seu cheiro
gâteux,senil
chuchoter,sussurrar
écorcher,descascar
les démangeaisons,a coceira
malgré sa moue - il savait qu'elle plaisantait,apesar do bico - ele sabia que ela estava brincando
le tablier,avental
orteil,dedo dos pés
la gosier,a garganta
